Category,Feature,Status,Thin-client?,Notes / Limitation
Networking,Host / join (in-game menu + launcher),✅ Working,Yes,Both machines render; menu or auto-start
Networking,TCP consolidated transport (1 port),✅ Working,Yes,Default. UDP option also available
Networking,Reconnection (no drop loop),✅ Working,Yes,Stable 30+ min verified
Networking,Reconciliation is client-only (host role-gated),✅ Fixed 2026-08-21,Yes,UDP data->x4mp_stream forward gated to client; stops host 'Failed to retrieve owner faction <sector>' flood. Sync was never affected.
Networking,Save sync (client loads host save),✅ Working,Yes,Client copies host's save before launch
Core sync,Player position / movement,✅ Working,Yes,Player ship is active (not inert); streamed to all
Core sync,Ship position sync (same ships everywhere),✅ Working,Yes,Now flicker-free via glide convergence
Core sync,Other players visible (ghost ships),✅ Working,Yes,Distinct real factions; never pruned/bound
Core sync,Camera snap (client flies into your sector),✅ Working,Yes,Host teleports its view to client on join
Core sync,Sector-entry glide (no teleport),✅ Working,Yes,X4MP_GLIDE_SPEED / X4MP_GLIDE_MAX
Stations,Host-built stations -> clients,✅ Implemented,Yes,STA stream; baseline prevents resending old stations; verified
Stations,Clients-built stations -> host,✅ Implemented,Yes,ACT BUILD; host spawns + broadcasts to others
Trading,Ship cargo sync,🟡 Implemented (test),Yes,Player's ship cargo diffed every 5s -> ACT CARGO -> host converges ghost -> relays
Trading,Station inventory sync,🟡 Implemented (test),Yes,Discrete trade relayed host-authoritatively (ACT TRADE); host applies to its station + relays; all clients converge. Buys instant (DropCargo bulk); sells converge (AddTradeWare single, bounded by ship cargo)
Trading,Credits sync,⚪ Not implemented,--,No API to read player credits or set an NPC faction's money pool (cosmetic - you trade with your own ship's credits locally)
Trading,Station own-economy sync,⚪ Not implemented,--,A station's own production/consumption over time diverges across instances; only player trades sync
Combat,Kills (a ship destroyed),🟡 Implemented (test),Yes,MD Killed event -> ACT KILL -> host RemoveComponent + broadcast
Combat,Player death / respawn,🟡 Implemented (test),Yes,MD Killed + player check -> ACT PLAYERDIED -> ghost removed, relayed
Combat,Shots / projectiles / damage,⚪ Not implemented,--,No Linux targeted-order or hull setter API (needs RE of the Linux binary)
Boarding,Player can board + capture (local operation),🟡 Implemented (test),Yes,Inert exemption (MD BoardingOperationStarted/Removed) lets the local boarding run in thin-client mode
Boarding,Capture result -> all clients,🟡 Implemented (test),Yes,MD EntityChangedOwner -> ACT CAPTURE -> host SetComponentOwner + broadcast
Boarding,Boarding operation (marines / phases) on other clients,⚪ Not implemented,--,Needs CreateBoardingOperation + phase sync to recreate on peers; future work
Client sim,Thin-client (host-driven ships),✅ Working,This mode,INERT=1 (default): NPC ships inert, no local AI
Client sim,Hybrid (local sim for ships),✅ Working,Alt mode,INERT=0: local AI runs, reconciled; can flicker
Client sim,Ghost rendering (Option A, host-authoritative),✅ Working,Standard,Launcher Anti-flicker menu opt 1; X4MP_GHOSTS=1; suppresses diverged local ships, renders host world as ghosts
Client sim,Per-frame pin (inert tug-of-war fix),✅ Working,Standard,Launcher Anti-flicker menu opt 2; X4MP_PIN_INTERVAL=1; pins bound ships every frame
Client sim,Frame-alignment + drift diagnostics,✅ Working,--,X4MP_FRAME_DIAG_S; [FRM]/[FLK]/[FLKV] logs prove frames align and isolate flicker cause
Host,Guarded position reads (log-flood fix),✅ Working,--,sector_of() guard before GetObjectPositionInSector; kills "Failed to retrieve sector" flood
Compatibility,glibc >= 2.38 (Ubuntu 24.04),✅ Working,--,local sqrtf shim drops sqrtf@GLIBC_2.43; extension now loads on Ubuntu 24.04
Launcher,Driver-aware Vulkan forcing,✅ Working,--,only forces AMD radv when no NVIDIA ICD; X4MP_FORCE_RADV override; fixes NVIDIA startup
Windows,Extensions load (DLLs into retail X4 9.00),✅ Verified 2026-09-18,--,x4native 2065/2065 functions resolved; x4native/x4mp/x4mp_stream all loaded; menu entries appear
Windows,Host binds + simulates (auto-start),✅ Verified 2026-09-18,--,X4MP_AUTO=host: TCP 7778 LISTENING; 92k ships streamed; heartbeat HOST active
Windows,Host via in-game menu,❌ Broken,--,Universe load triggers x4native re-discovery -> extension shutdown -> listener closed; menu click state does not survive. Use auto-start
Windows,Launcher environment reaches the game,🟡 Needs steam_appid.txt,--,X4 relaunches via Steam and drops the env; put steam_appid.txt (392160) next to X4.exe or every X4MP_* setting is ignored
Windows,MD events (kills / captures / boarding),❌ Blocked on 9.00,--,x4native cannot resolve EventQueue_InsertOrDispatch for build 900; MD-event features cannot work until it does
Windows,Two-machine host<->client session,⚪ Untested,--,Single-machine smoke test only; no client has connected to a Windows host
